Identifier,Class 0,Class 1,Class 2
1,0.72,0.09714285714285714,0.18285714285714286
2,0.725,0.0,0.275
3,0.6318407960199005,0.17412935323383086,0.19402985074626866
7,0.7235772357723578,0.0,0.2764227642276423
9,0.6826347305389222,0.1437125748502994,0.17365269461077845
10,0.5326633165829145,0.2864321608040201,0.18090452261306533
12,0.7843137254901961,0.0,0.21568627450980393
17,0.5538461538461539,0.26666666666666666,0.1794871794871795
20,0.6832298136645962,0.11180124223602485,0.20496894409937888
21,0.589041095890411,0.1095890410958904,0.3013698630136986
24,0.6232558139534884,0.19534883720930232,0.1813953488372093
25,0.7948717948717948,0.0,0.20512820512820512
26,0.5633187772925764,0.2663755458515284,0.1703056768558952
27,0.7302631578947368,0.09868421052631579,0.17105263157894737
30,0.7777777777777778,0.0,0.2222222222222222
31,0.7962962962962963,0.0,0.2037037037037037
34,0.7262569832402235,0.10614525139664804,0.16759776536312848
36,0.6585365853658537,0.15853658536585366,0.18292682926829268
37,0.5241935483870968,0.29838709677419356,0.1774193548387097
42,0.8421052631578947,0.0,0.15789473684210525
43,0.782608695652174,0.0,0.21739130434782608
44,0.8571428571428571,0.0,0.14285714285714285
45,0.8,0.0,0.2
46,0.8,0.0,0.2
47,0.6589861751152074,0.17050691244239632,0.17050691244239632
50,0.84,0.08,0.08
51,0.8260869565217391,0.08695652173913043,0.08695652173913043
52,0.5900900900900901,0.23423423423423423,0.17567567567567569
53,0.4444444444444444,0.30246913580246915,0.25308641975308643
54,0.6464646464646465,0.21212121212121213,0.1414141414141414
55,0.7567567567567568,0.0,0.24324324324324326
56,0.6923076923076923,0.0,0.3076923076923077
59,0.6637931034482759,0.008620689655172414,0.3275862068965517
62,0.7870967741935484,0.08387096774193549,0.12903225806451613
63,0.8571428571428571,0.047619047619047616,0.09523809523809523
64,0.8947368421052632,0.0,0.10526315789473684
69,0.6976744186046512,0.18604651162790697,0.11627906976744186
72,0.5803571428571429,0.13392857142857142,0.2857142857142857
73,0.8695652173913043,0.0,0.13043478260869565
74,0.9,0.0,0.1
75,0.8333333333333334,0.0,0.16666666666666666
76,0.8333333333333334,0.0,0.16666666666666666
77,0.8235294117647058,0.0,0.17647058823529413
78,0.7333333333333333,0.0,0.26666666666666666
80,0.7027027027027027,0.0,0.2972972972972973
81,0.8095238095238095,0.0,0.19047619047619047
91,0.6842105263157895,0.0,0.3157894736842105
93,0.7,0.0,0.3
94,0.7916666666666666,0.0,0.20833333333333334
95,0.6875,0.0,0.3125
96,0.7619047619047619,0.0,0.23809523809523808
99,0.7368421052631579,0.0,0.2631578947368421
101,0.5977653631284916,0.1787709497206704,0.22346368715083798
104,0.5540540540540541,0.04054054054054054,0.40540540540540543
106,0.8,0.0,0.2
107,0.7692307692307693,0.0,0.23076923076923078
108,0.8,0.0,0.2
120,1.0,0.0,0.0
121,0.7083333333333334,0.08333333333333333,0.20833333333333334
122,0.6538461538461539,0.0,0.34615384615384615
126,0.8461538461538461,0.0,0.15384615384615385
139,0.7529411764705882,0.058823529411764705,0.18823529411764706
141,0.7232142857142857,0.08035714285714286,0.19642857142857142
142,0.5870307167235495,0.25597269624573377,0.15699658703071673
144,0.6236559139784946,0.2114695340501792,0.16487455197132617
146,0.6838709677419355,0.15806451612903225,0.15806451612903225
148,0.8091603053435115,0.061068702290076333,0.1297709923664122
149,0.7483870967741936,0.09032258064516129,0.16129032258064516
150,0.6912751677852349,0.12080536912751678,0.18791946308724833
151,0.6123188405797102,0.213768115942029,0.17391304347826086
155,0.8076923076923077,0.09615384615384616,0.09615384615384616
156,0.6021505376344086,0.22580645161290322,0.17204301075268819
157,0.5921985815602837,0.2198581560283688,0.1879432624113475
158,0.5565610859728507,0.2850678733031674,0.1583710407239819
159,0.5808823529411765,0.23897058823529413,0.1801470588235294
160,0.6352459016393442,0.19262295081967212,0.1721311475409836
161,0.6956521739130435,0.10144927536231885,0.2028985507246377
165,0.6829268292682927,0.0,0.3170731707317073
166,0.7105263157894737,0.0,0.2894736842105263
167,0.6829268292682927,0.0,0.3170731707317073
168,0.6829268292682927,0.0,0.3170731707317073
169,0.6904761904761905,0.0,0.30952380952380953
171,0.717948717948718,0.0,0.28205128205128205
174,0.6842105263157895,0.0,0.3157894736842105
176,0.6904761904761905,0.0,0.30952380952380953
177,0.725,0.0,0.275
178,0.6829268292682927,0.0,0.3170731707317073
179,0.6976744186046512,0.0,0.3023255813953488
180,0.7105263157894737,0.0,0.2894736842105263
181,0.675,0.0,0.325
183,0.6829268292682927,0.0,0.3170731707317073
184,0.6410256410256411,0.0,0.358974358974359
185,0.6904761904761905,0.0,0.30952380952380953
186,0.7350993377483444,0.08609271523178808,0.17880794701986755
193,0.7142857142857143,0.0,0.2857142857142857
194,0.6829268292682927,0.0,0.3170731707317073
195,0.725,0.0,0.275
197,0.6829268292682927,0.0,0.3170731707317073
198,0.6046511627906976,0.0,0.3953488372093023
199,0.6585365853658537,0.0,0.34146341463414637
200,0.6511627906976745,0.0,0.3488372093023256
201,0.6666666666666666,0.0,0.3333333333333333
202,0.6585365853658537,0.0,0.34146341463414637
203,1.0,0.0,0.0
204,0.6829268292682927,0.0,0.3170731707317073
205,0.6923076923076923,0.0,0.3076923076923077
254,0.8076923076923077,0.0,0.19230769230769232
256,0.78125,0.0,0.21875
258,0.7407407407407407,0.0,0.25925925925925924
259,0.6923076923076923,0.0,0.3076923076923077
260,0.7352941176470589,0.0,0.2647058823529412
261,0.7333333333333333,0.0,0.26666666666666666
262,0.9333333333333333,0.0,0.06666666666666667
263,0.9285714285714286,0.0,0.07142857142857142
264,0.9333333333333333,0.0,0.06666666666666667
265,0.6904761904761905,0.0,0.30952380952380953
266,0.7777777777777778,0.0,0.2222222222222222
268,0.631578947368421,0.0,0.3684210526315789
269,0.7,0.0,0.3
270,0.625,0.0,0.375
271,0.6578947368421053,0.0,0.34210526315789475
272,0.6829268292682927,0.0,0.3170731707317073
273,0.7297297297297297,0.0,0.2702702702702703
274,0.6206896551724138,0.0,0.3793103448275862
276,0.75,0.0,0.25
277,0.7037037037037037,0.0,0.2962962962962963
278,0.7428571428571429,0.0,0.2571428571428571
279,0.7586206896551724,0.0,0.2413793103448276
280,0.7037037037037037,0.0,0.2962962962962963
281,0.7428571428571429,0.0,0.2571428571428571
282,0.675,0.0,0.325
283,0.7105263157894737,0.0,0.2894736842105263
284,0.7,0.0,0.3
285,0.6511627906976745,0.0,0.3488372093023256
287,0.7941176470588235,0.0,0.20588235294117646
288,0.6666666666666666,0.0,0.3333333333333333
289,0.6829268292682927,0.0,0.3170731707317073
290,0.65,0.0,0.35
